,Number,times,T2,T24,T30,T50,P2,P15,P30,epr,Ps30,phi,Nf,Nc,NRf,NRc,Nf_dmd,PCNfR_dmd,W31,W32,BPR,farB,htBleed,Altitude,Mach,TRA,life
13,1,14,445.12,549.59,1352.81,1121.32,3.91,5.71,138.6,1.02,42.11,130.6,2209.38,8303.91,2385.3,8062.3,2209.79,100.0,10.8,6.433,9.3905,0.02,330,42.002,0.8407,100.0,112
14,1,15,489.49,605.01,1502.16,1306.41,10.52,15.49,395.21,1.26,45.49,372.03,2316.55,8756.33,2385.75,8110.44,2316.68,100.0,28.49,17.0772,8.6079,0.03,369,10.0038,0.2513,100.0,112
15,1,16,449.77,555.89,1362.74,1127.28,5.48,8.0,194.44,1.02,41.74,182.78,2220.54,8328.4,2385.37,8045.89,2220.78,100.0,15.02,9.0046,9.3232,0.02,332,35.0053,0.8419,100.0,112
16,1,17,464.03,537.74,1261.56,1054.49,7.05,9.02,175.21,0.94,36.73,164.53,1913.2,7997.81,2026.0,7849.65,1913.08,84.93,14.07,8.5935,10.8616,0.02,307,25.0077,0.6217,60.0,112
17,1,18,449.23,555.24,1364.94,1135.41,5.48,8.0,193.77,1.02,41.98,182.72,2220.48,8328.23,2385.33,8044.68,2220.78,100.0,14.87,8.8476,9.3419,0.02,334,34.9996,0.8404,100.0,112
18,1,19,445.31,549.38,1349.78,1135.13,3.91,5.71,138.72,1.02,42.02,130.42,2209.38,8291.72,2385.24,8062.63,2209.79,100.0,10.56,6.4895,9.3798,0.02,332,42.0018,0.84,100.0,112
19,1,20,490.34,607.05,1481.59,1254.9,9.35,13.66,334.43,1.08,44.43,314.85,2321.62,8700.19,2385.69,8038.96,2321.68,100.0,24.46,14.6601,9.2623,0.02,366,20.002,0.7015,100.0,112
20,1,21,442.45,547.13,1347.74,1127.71,3.91,5.72,137.93,1.02,42.28,129.98,2209.38,8295.14,2385.23,8063.5,2209.79,100.0,10.65,6.4882,9.3824,0.02,331,42.0028,0.8403,100.0,112
21,1,22,445.65,550.23,1353.38,1130.08,3.91,5.71,138.79,1.02,42.01,130.79,2209.37,8291.9,2385.33,8061.86,2209.79,100.0,10.6,6.4441,9.3587,0.02,330,42.0043,0.8419,100.0,112
22,1,23,445.86,550.3,1348.33,1127.16,3.91,5.71,138.55,1.02,41.97,130.48,2209.38,8291.98,2385.37,8061.98,2209.79,100.0,10.53,6.4008,9.3398,0.02,331,41.9987,0.8416,100.0,112
23,1,24,444.26,549.44,1352.08,1127.18,3.91,5.72,138.21,1.02,42.03,130.17,2209.38,8300.44,2385.25,8061.46,2209.79,100.0,10.58,6.4598,9.3807,0.02,332,42.0011,0.84,100.0,112
24,1,25,447.27,551.69,1352.59,1124.71,3.91,5.72,139.02,1.02,42.25,130.73,2209.38,8298.38,2385.25,8058.91,2209.79,100.0,10.58,6.5223,9.348,0.02,332,42.0063,0.84,100.0,112
25,1,26,443.55,547.91,1355.97,1123.7,3.91,5.71,138.68,1.02,42.16,130.42,2209.5,8300.59,2385.28,8064.11,2209.79,100.0,10.64,6.3648,9.3704,0.02,331,42.0001,0.8402,100.0,112
26,1,27,462.59,537.06,1263.26,1048.08,7.05,9.02,176.05,0.94,36.77,164.3,1913.21,7990.23,2025.91,7851.26,1913.08,84.93,14.33,8.6605,10.9077,0.02,308,25.0058,0.6206,60.0,112
27,1,28,518.48,642.85,1589.09,1403.31,14.62,21.61,554.08,1.3,47.65,521.17,2385.74,9028.48,2385.75,8114.33,2385.61,100.0,39.05,23.3384,8.4871,0.03,392,0.0022,0.0,100.0,112
28,1,29,520.2,644.01,1601.32,1417.21,14.62,21.61,553.49,1.3,47.33,521.33,2385.71,9030.2,2385.68,8113.13,2385.61,100.0,38.87,23.3113,8.4545,0.03,390,0.0007,0.0,100.0,112
29,1,30,492.66,609.25,1487.16,1246.25,9.35,13.65,334.53,1.08,44.35,314.92,2321.57,8704.99,2385.67,8035.76,2321.68,100.0,24.45,14.7032,9.2372,0.02,365,20.006,0.7011,100.0,112
30,1,31,489.2,605.28,1505.0,1311.09,10.52,15.49,394.19,1.26,45.41,371.28,2316.61,8751.57,2385.77,8109.79,2316.68,100.0,28.53,17.1125,8.6276,0.03,368,10.005,0.25,100.0,112
31,1,32,489.43,605.07,1510.31,1317.58,10.52,15.5,394.21,1.26,45.32,372.0,2316.61,8755.0,2385.71,8110.81,2316.68,100.0,28.43,17.0155,8.6558,0.03,369,10.0038,0.25,100.0,112
32,1,33,517.78,642.24,1582.92,1404.09,14.62,21.61,553.55,1.3,47.61,521.55,2385.72,9030.8,2385.74,8118.02,2385.61,100.0,39.25,23.5335,8.4411,0.03,393,0.0028,0.0,100.0,112
33,1,34,516.69,640.26,1585.06,1404.74,14.62,21.61,553.6,1.3,47.57,521.15,2385.76,9027.64,2385.74,8108.21,2385.61,100.0,39.01,23.2897,8.4196,0.03,392,0.0012,0.0008,100.0,112
34,1,35,488.7,604.9,1503.88,1306.28,10.52,15.49,394.24,1.26,45.48,371.35,2316.69,8756.88,2385.76,8106.32,2316.68,100.0,28.7,17.1425,8.6566,0.03,368,10.0066,0.251,100.0,112
35,1,36,462.7,537.11,1271.32,1051.78,7.05,9.03,175.67,0.94,36.91,164.61,1913.26,7990.94,2025.91,7859.89,1913.08,84.93,14.11,8.5297,10.8817,0.02,307,25.005,0.62,60.0,112
36,1,37,490.28,606.07,1502.09,1312.23,10.52,15.49,394.31,1.26,45.41,371.34,2316.61,8756.07,2385.76,8101.45,2316.68,100.0,28.35,17.1437,8.6536,0.03,369,10.0076,0.25,100.0,112
37,1,38,463.74,537.96,1262.84,1047.14,7.05,9.02,176.01,0.94,36.82,164.32,1913.24,7995.33,2025.92,7854.67,1913.08,84.93,14.31,8.6381,10.9054,0.02,306,24.9987,0.62,60.0,112
38,1,39,462.15,536.27,1267.27,1057.27,7.05,9.02,176.03,0.94,36.57,164.19,1913.21,7986.35,2025.92,7857.24,1913.08,84.93,14.44,8.6205,10.9318,0.02,307,24.9981,0.6211,60.0,112
39,1,40,488.75,604.87,1504.79,1312.67,10.52,15.49,394.37,1.26,45.57,371.16,2316.62,8761.36,2385.77,8103.8,2316.68,100.0,28.5,17.0436,8.6373,0.03,370,10.0065,0.25,100.0,112
40,1,41,461.49,535.69,1260.76,1047.73,7.05,9.02,175.76,0.94,36.95,164.97,1913.2,7989.12,2026.0,7854.53,1913.08,84.93,14.4,8.5733,10.8998,0.02,307,25.0051,0.6211,60.0,112
41,1,42,448.02,553.92,1363.72,1135.03,5.48,8.0,194.88,1.02,41.9,182.74,2220.47,8327.54,2385.33,8049.14,2220.78,100.0,14.58,8.794,9.3769,0.02,334,35.0029,0.84,100.0,112
42,1,43,443.29,548.07,1348.57,1125.88,3.91,5.71,138.88,1.02,41.95,131.44,2209.4,8301.63,2385.26,8062.05,2209.79,100.0,10.77,6.5739,9.3745,0.02,331,42.0037,0.8409,100.0,112
43,1,44,520.62,644.52,1584.85,1407.17,14.62,21.61,552.97,1.3,47.65,521.63,2385.77,9028.72,2385.77,8120.51,2385.61,100.0,38.64,23.1004,8.4635,0.03,393,0.0002,0.0,100.0,112
44,1,45,448.93,554.77,1369.71,1128.53,5.48,8.0,194.41,1.02,41.91,182.67,2220.44,8330.02,2385.35,8043.86,2220.78,100.0,14.67,8.8746,9.3577,0.02,334,35.0033,0.84,100.0,112
45,1,46,444.56,549.0,1354.41,1125.51,3.91,5.71,138.16,1.02,42.15,130.9,2209.4,8301.35,2385.24,8063.15,2209.79,100.0,10.66,6.3798,9.3717,0.02,331,42.0046,0.84,100.0,112
46,1,47,487.8,603.76,1498.83,1308.4,10.52,15.5,394.09,1.26,45.52,371.27,2316.63,8754.34,2385.84,8107.34,2316.68,100.0,28.51,17.0889,8.6394,0.03,371,10.0049,0.25,100.0,112
47,1,48,519.45,644.04,1589.36,1403.29,14.62,21.61,552.61,1.3,47.54,521.5,2385.77,9028.9,2385.73,8114.91,2385.61,100.0,38.89,23.3464,8.4318,0.03,392,0.0004,0.0014,100.0,112
48,1,49,443.39,548.32,1352.94,1130.89,3.91,5.71,138.81,1.02,42.11,130.12,2209.39,8297.09,2385.31,8060.63,2209.79,100.0,10.52,6.5162,9.3749,0.02,330,41.9986,0.8402,100.0,112
49,1,50,449.23,554.68,1369.27,1126.75,5.48,8.0,195.16,1.02,41.93,182.99,2220.48,8326.83,2385.38,8046.26,2220.78,100.0,14.84,8.9834,9.3186,0.02,334,35.0059,0.8401,100.0,112
50,1,51,461.64,535.85,1262.13,1050.95,7.05,9.02,175.05,0.94,36.63,164.42,1913.19,7987.32,2025.95,7855.87,1913.08,84.93,14.12,8.5027,10.8934,0.02,306,24.9994,0.621,60.0,112
51,1,52,445.39,550.25,1354.8,1129.78,3.91,5.72,138.47,1.02,42.04,130.76,2209.32,8290.15,2385.26,8059.45,2209.79,100.0,10.57,6.3764,9.3789,0.02,331,42.0015,0.8404,100.0,112
52,1,53,488.54,604.54,1501.31,1310.72,10.52,15.49,394.68,1.26,45.29,371.26,2316.67,8751.07,2385.82,8106.01,2316.68,100.0,28.53,17.1487,8.6412,0.03,371,10.0061,0.25,100.0,112
53,1,54,517.49,641.64,1585.97,1398.67,14.62,21.61,552.86,1.3,47.64,521.56,2385.71,9025.59,2385.66,8114.54,2385.61,100.0,38.89,23.264,8.4297,0.03,393,0.002,0.0,100.0,112
54,1,55,518.64,642.88,1587.24,1404.64,14.62,21.61,553.61,1.3,47.52,521.06,2385.73,9034.28,2385.71,8112.16,2385.61,100.0,38.82,23.2377,8.5013,0.03,392,0.0018,0.0,100.0,112
55,1,56,445.43,549.94,1346.01,1136.17,3.91,5.71,138.52,1.02,42.23,130.29,2209.36,8296.03,2385.2,8065.15,2209.79,100.0,10.46,6.3127,9.3868,0.02,332,42.0043,0.84,100.0,112
56,1,57,491.26,606.72,1486.55,1255.74,9.35,13.65,334.77,1.08,44.4,314.39,2321.61,8705.1,2385.66,8040.91,2321.68,100.0,24.74,14.6722,9.2407,0.02,365,20.0046,0.7003,100.0,112
57,1,58,449.74,555.88,1371.31,1133.45,5.48,8.0,193.74,1.02,42.06,182.41,2220.45,8325.95,2385.36,8048.39,2220.78,100.0,14.68,8.8135,9.3193,0.02,334,35.0031,0.84,100.0,112
58,1,59,444.37,548.73,1352.29,1124.46,3.91,5.71,138.73,1.02,42.2,130.35,2209.35,8295.25,2385.27,8055.96,2209.79,100.0,10.43,6.3291,9.368,0.02,330,42.0053,0.8412,100.0,112
59,1,60,462.18,536.67,1262.33,1047.16,7.05,9.02,175.0,0.94,36.74,164.32,1913.2,7991.59,2025.99,7856.95,1913.08,84.93,14.5,8.8467,10.8843,0.02,308,25.002,0.62,60.0,112
60,1,61,490.52,606.84,1480.94,1252.43,9.35,13.65,334.33,1.07,44.47,315.14,2321.66,8698.43,2385.67,8037.56,2321.68,100.0,24.57,14.7398,9.2412,0.02,367,20.0011,0.7,100.0,112
61,1,62,518.31,642.88,1591.1,1404.95,14.62,21.61,553.34,1.3,47.54,521.83,2385.75,9031.37,2385.82,8109.63,2385.61,100.0,38.84,23.2094,8.4424,0.03,392,0.0029,0.0,100.0,112
62,1,63,444.19,549.29,1354.36,1122.73,3.91,5.71,138.41,1.02,42.27,130.96,2209.32,8302.7,2385.21,8058.49,2209.79,100.0,10.36,6.3852,9.362,0.02,331,41.9992,0.8413,100.0,112
63,1,64,447.71,553.98,1357.44,1128.26,5.48,8.0,193.78,1.02,42.2,183.37,2220.51,8332.16,2385.4,8047.78,2220.78,100.0,14.73,8.8512,9.3277,0.02,334,35.0052,0.8406,100.0,112
64,1,65,518.85,642.8,1596.8,1404.83,14.62,21.61,553.42,1.3,47.55,521.0,2385.79,9031.77,2385.72,8119.15,2385.61,100.0,38.93,23.3253,8.4554,0.03,394,0.0016,0.0006,100.0,112
65,1,66,449.04,555.15,1371.05,1128.56,5.48,8.0,194.45,1.02,42.25,182.98,2220.46,8333.08,2385.35,8047.2,2220.78,100.0,14.92,8.8907,9.3331,0.02,334,35.0053,0.84,100.0,112
66,1,67,487.42,603.38,1502.71,1309.5,10.52,15.49,392.95,1.26,45.64,371.09,2316.67,8754.79,2385.8,8102.94,2316.68,100.0,28.54,17.2021,8.6675,0.03,372,10.0015,0.25,100.0,112
67,1,68,519.13,643.34,1587.2,1409.56,14.62,21.61,554.08,1.3,47.58,521.51,2385.71,9034.09,2385.76,8112.12,2385.61,100.0,39.04,23.4009,8.478,0.03,394,0.0,0.0,100.0,112
68,1,69,517.76,641.57,1590.99,1408.94,14.62,21.61,552.82,1.3,47.63,521.43,2385.76,9033.87,2385.69,8117.86,2385.61,100.0,38.85,23.2475,8.4428,0.03,392,0.0009,0.0009,100.0,112
69,1,70,445.05,549.96,1352.26,1125.05,3.91,5.72,139.43,1.02,42.04,130.67,2209.41,8295.68,2385.18,8065.38,2209.79,100.0,10.46,6.3302,9.3926,0.02,330,42.0024,0.8411,100.0,112
70,1,71,491.92,608.17,1482.9,1254.06,9.35,13.65,334.53,1.08,44.5,314.82,2321.61,8703.43,2385.62,8046.43,2321.68,100.0,24.47,14.7259,9.2346,0.02,365,20.0074,0.7,100.0,112
71,1,72,462.67,537.09,1260.94,1041.12,7.05,9.02,175.52,0.94,36.92,164.35,1913.18,7988.85,2026.0,7851.64,1913.08,84.93,14.16,8.5889,10.8678,0.02,307,25.0057,0.62,60.0,112
72,1,73,463.68,537.71,1261.91,1051.56,7.05,9.03,176.3,0.94,36.85,164.95,1913.21,7996.96,2026.01,7857.08,1913.08,84.93,14.2,8.6425,10.8815,0.02,308,25.0025,0.6217,60.0,112
73,1,74,489.96,605.93,1483.82,1251.89,9.35,13.65,334.09,1.08,44.36,314.49,2321.63,8696.19,2385.7,8040.79,2321.68,100.0,24.32,14.679,9.2487,0.03,366,20.0033,0.702,100.0,112
74,1,75,462.94,536.83,1258.63,1049.65,7.05,9.02,175.13,0.94,36.81,164.46,1913.15,7987.45,2025.96,7857.13,1913.08,84.93,14.3,8.6861,10.894,0.02,308,25.0039,0.62,60.0,112
75,1,76,461.86,536.34,1268.02,1049.03,7.05,9.03,176.05,0.94,36.81,164.05,1913.19,7995.74,2026.0,7855.39,1913.08,84.93,14.04,8.4443,10.9035,0.02,308,25.0023,0.62,60.0,112
76,1,77,444.13,549.12,1355.78,1128.14,3.91,5.71,137.8,1.02,42.07,130.41,2209.38,8295.75,2385.24,8063.7,2209.79,100.0,10.86,6.6979,9.3571,0.02,330,42.0008,0.8405,100.0,112
77,1,78,461.96,535.83,1262.12,1048.05,7.05,9.03,175.2,0.94,36.71,164.53,1913.23,7992.19,2025.96,7858.1,1913.08,84.93,14.16,8.5699,10.9131,0.02,308,25.0024,0.62,60.0,112
78,1,79,444.69,549.39,1354.4,1119.99,3.91,5.71,138.79,1.02,42.15,130.63,2209.39,8295.38,2385.24,8057.61,2209.79,100.0,10.64,6.3079,9.3851,0.02,333,42.0017,0.84,100.0,112
79,1,80,445.06,549.45,1362.42,1135.84,3.91,5.71,138.94,1.02,42.19,130.11,2209.36,8296.43,2385.24,8061.0,2209.79,100.0,10.81,6.6276,9.4237,0.02,330,42.0037,0.84,100.0,112
80,1,81,490.02,606.44,1490.56,1262.32,9.35,13.66,335.04,1.08,44.52,314.39,2321.62,8699.49,2385.66,8041.91,2321.68,100.0,24.47,14.6786,9.2411,0.02,366,20.0011,0.7,100.0,112
81,1,82,519.57,644.16,1589.89,1408.87,14.62,21.61,552.85,1.3,47.84,521.02,2385.81,9030.12,2385.77,8118.0,2385.61,100.0,38.64,23.2227,8.4342,0.03,395,0.0027,0.0008,100.0,112
82,1,83,445.47,549.58,1353.13,1135.65,3.91,5.71,138.17,1.02,42.07,130.25,2209.39,8293.42,2385.27,8060.89,2209.79,100.0,10.31,6.1855,9.3919,0.02,332,42.0068,0.84,100.0,112
83,1,84,443.46,548.11,1351.12,1132.92,3.91,5.71,138.3,1.02,42.26,130.73,2209.38,8292.26,2385.27,8061.8,2209.79,100.0,10.52,6.3374,9.3779,0.02,332,41.9983,0.84,100.0,112
84,1,85,520.16,644.23,1589.31,1410.61,14.62,21.61,553.48,1.3,47.68,521.22,2385.71,9032.33,2385.81,8110.57,2385.61,100.0,38.92,23.3181,8.4494,0.03,393,0.0,0.0011,100.0,112
85,1,86,446.9,551.13,1359.21,1131.8,3.91,5.71,138.09,1.02,42.1,130.21,2209.39,8299.58,2385.19,8066.83,2209.79,100.0,10.72,6.4343,9.3934,0.02,332,42.0045,0.84,100.0,112
86,1,87,446.18,551.1,1354.33,1124.71,3.91,5.72,138.61,1.02,42.3,130.28,2209.35,8301.02,2385.22,8064.33,2209.79,100.0,10.35,6.2036,9.3545,0.02,331,42.0024,0.8413,100.0,112
87,1,88,449.26,555.44,1367.91,1125.12,5.48,8.0,194.0,1.02,42.1,182.76,2220.46,8330.63,2385.39,8043.91,2220.78,100.0,14.49,8.7693,9.383,0.02,335,35.0043,0.8416,100.0,112
88,1,89,487.98,604.18,1503.57,1311.89,10.52,15.5,393.97,1.26,45.65,371.25,2316.74,8754.49,2385.81,8104.94,2316.68,100.0,28.77,17.2024,8.6515,0.03,369,9.9995,0.2514,100.0,112
89,1,90,519.72,644.0,1590.03,1410.66,14.62,21.61,553.31,1.3,47.61,520.9,2385.74,9032.4,2385.75,8118.89,2385.61,100.0,38.7,23.1233,8.4451,0.03,396,0.0003,0.0,100.0,112
90,1,91,462.14,536.59,1266.42,1051.47,7.05,9.02,175.02,0.94,36.97,165.07,1913.19,7993.0,2025.99,7855.39,1913.08,84.93,14.13,8.5537,10.9231,0.02,308,25.0027,0.62,60.0,112
91,1,92,446.22,550.21,1354.11,1138.72,3.91,5.71,138.58,1.02,42.26,130.61,2209.38,8309.01,2385.19,8064.9,2209.79,100.0,10.48,6.3163,9.3743,0.02,332,41.9984,0.8411,100.0,112
92,1,93,491.4,608.21,1486.81,1260.6,9.35,13.66,334.76,1.08,44.58,314.62,2321.63,8708.71,2385.69,8046.52,2321.68,100.0,24.41,14.6664,9.2455,0.02,366,20.0005,0.7009,100.0,112
93,1,94,445.98,551.08,1354.15,1127.66,3.91,5.72,139.02,1.02,42.11,129.63,2209.4,8296.85,2385.29,8057.93,2209.79,100.0,10.53,6.2111,9.436,0.02,331,41.9992,0.84,100.0,112
94,1,95,449.8,556.0,1369.93,1136.85,5.48,8.0,193.87,1.02,42.0,182.37,2220.42,8330.98,2385.37,8050.69,2220.78,100.0,14.97,9.0416,9.3649,0.02,335,35.0058,0.8403,100.0,112
95,1,96,445.71,550.36,1359.08,1126.09,3.91,5.71,139.0,1.02,42.2,130.49,2209.33,8299.71,2385.16,8059.47,2209.79,100.0,10.39,6.2469,9.3981,0.02,330,42.0062,0.8402,100.0,112
96,1,97,445.01,549.44,1354.87,1127.45,3.91,5.71,138.91,1.02,42.39,130.44,2209.45,8306.05,2385.24,8063.39,2209.79,100.0,10.71,6.3009,9.3681,0.02,329,42.0015,0.8413,100.0,112
97,1,98,520.46,645.05,1595.22,1411.56,14.62,21.61,553.19,1.3,47.49,521.22,2385.74,9039.1,2385.78,8116.46,2385.61,100.0,38.64,23.3225,8.4587,0.03,395,0.0025,0.0015,100.0,112
98,1,99,489.18,605.1,1501.32,1309.68,10.52,15.5,393.8,1.26,45.62,371.05,2316.72,8754.88,2385.86,8110.93,2316.68,100.0,28.41,16.9945,8.6636,0.03,369,10.0051,0.2502,100.0,112
99,1,100,491.59,608.0,1488.83,1259.51,9.35,13.66,333.85,1.08,44.83,314.17,2321.61,8695.56,2385.67,8040.31,2321.68,100.0,24.74,14.9042,9.249,0.03,367,20.0027,0.7,100.0,112
100,1,101,446.88,551.87,1351.36,1137.26,3.91,5.72,138.37,1.02,42.19,130.44,2209.35,8300.58,2385.23,8058.82,2209.79,100.0,10.38,6.2838,9.3842,0.02,330,42.0021,0.84,100.0,112
101,1,102,448.09,554.55,1375.31,1137.96,5.48,8.0,194.2,1.02,42.19,182.22,2220.45,8334.61,2385.38,8050.96,2220.78,100.0,14.82,8.8123,9.3595,0.02,334,35.0063,0.84,100.0,112
102,1,103,489.92,606.05,1494.62,1257.09,9.35,13.66,334.38,1.08,44.51,314.23,2321.61,8695.82,2385.74,8037.86,2321.68,100.0,24.33,14.8505,9.2488,0.03,366,20.0057,0.701,100.0,112
103,1,104,450.41,557.26,1363.72,1130.42,5.48,8.0,194.42,1.02,42.13,182.92,2220.48,8329.11,2385.38,8048.8,2220.78,100.0,14.77,8.8865,9.3655,0.02,335,35.0078,0.84,100.0,112
104,1,105,490.02,605.87,1486.77,1259.91,9.35,13.66,334.66,1.08,44.71,314.16,2321.67,8703.32,2385.71,8037.33,2321.68,100.0,24.4,14.5477,9.258,0.03,364,20.0052,0.7,100.0,112
105,1,106,520.61,645.06,1592.32,1416.39,14.62,21.61,552.97,1.3,47.65,520.52,2385.77,9032.66,2385.73,8114.56,2385.61,100.0,38.42,22.9942,8.4556,0.03,394,0.0008,0.0019,100.0,112
106,1,107,449.03,555.44,1365.29,1138.8,5.48,8.0,193.72,1.02,42.1,183.02,2220.47,8336.02,2385.41,8056.88,2220.78,100.0,14.67,8.8167,9.3838,0.02,337,35.0037,0.8411,100.0,112
107,1,108,444.25,549.34,1361.59,1133.17,3.91,5.71,137.57,1.02,42.25,130.73,2209.37,8307.73,2385.31,8058.3,2209.79,100.0,10.38,6.3599,9.3829,0.02,331,41.9998,0.8414,100.0,112
108,1,109,446.92,551.8,1362.18,1139.87,3.91,5.72,138.15,1.02,42.32,130.97,2209.38,8301.05,2385.27,8055.42,2209.79,100.0,10.54,6.4442,9.3712,0.02,332,41.9991,0.8419,100.0,112
109,1,110,492.67,609.27,1491.08,1268.61,9.35,13.66,333.74,1.07,44.57,314.53,2321.64,8700.89,2385.64,8041.01,2321.68,100.0,24.36,14.7006,9.2481,0.03,368,20.0074,0.7019,100.0,112
110,1,111,520.54,645.12,1597.83,1421.08,14.62,21.61,552.63,1.3,47.84,520.65,2385.79,9037.64,2385.79,8109.46,2385.61,100.0,38.5,23.2274,8.4483,0.03,393,0.0027,0.0017,100.0,112
111,1,112,445.91,550.82,1360.93,1138.8,3.91,5.72,138.53,1.02,42.35,130.77,2209.25,8298.27,2385.19,8061.44,2209.79,100.0,10.7,6.4653,9.4154,0.02,331,42.0049,0.84,100.0,112
112,1,113,517.81,641.74,1591.87,1417.72,14.62,21.61,552.23,1.3,47.67,520.45,2385.78,9042.08,2385.82,8111.18,2385.61,100.0,38.83,23.29,8.4546,0.03,392,0.0013,0.0,100.0,112
113,1,114,451.35,557.98,1366.19,1138.4,5.48,8.0,194.18,1.02,42.28,182.57,2220.52,8332.67,2385.44,8049.52,2220.78,100.0,14.84,8.8406,9.3308,0.02,335,35.0026,0.84,100.0,112
114,1,115,490.92,608.01,1481.3,1267.34,9.35,13.66,333.01,1.07,44.62,314.63,2321.66,8707.96,2385.74,8039.46,2321.68,100.0,24.23,14.5602,9.3039,0.02,368,20.0045,0.7013,100.0,112
115,1,116,463.34,537.27,1268.38,1059.11,7.05,9.03,174.62,0.94,36.86,164.87,1913.2,7996.86,2025.94,7856.9,1913.08,84.93,14.11,8.7542,10.9242,0.02,309,24.998,0.62,60.0,112
116,1,117,463.49,537.47,1264.26,1049.61,7.05,9.03,175.33,0.94,37.01,164.11,1913.22,7989.68,2025.97,7858.41,1913.08,84.93,14.29,8.5879,10.952,0.02,309,25.0,0.6219,60.0,112
117,1,118,449.28,555.6,1373.21,1140.27,5.48,8.0,194.35,1.02,42.21,182.88,2220.46,8335.26,2385.38,8042.21,2220.78,100.0,14.92,9.0142,9.3875,0.02,335,35.003,0.84,100.0,112
118,1,119,463.15,537.9,1267.14,1062.58,7.05,9.03,175.01,0.94,36.85,164.87,1913.19,7990.7,2025.92,7853.89,1913.08,84.93,14.05,8.3353,10.9068,0.02,307,25.0056,0.62,60.0,112
119,1,120,450.36,556.91,1370.57,1145.33,5.48,8.0,193.68,1.02,42.44,182.38,2220.46,8333.72,2385.46,8050.73,2220.78,100.0,14.94,8.9866,9.3749,0.02,335,34.9991,0.8409,100.0,112
120,1,121,489.43,605.6,1510.16,1309.02,10.52,15.5,393.39,1.26,45.71,370.99,2316.77,8756.09,2385.91,8101.46,2316.68,100.0,28.61,17.1759,8.7223,0.03,371,10.0062,0.2512,100.0,112
121,1,122,517.57,642.02,1596.81,1421.3,14.62,21.61,552.44,1.3,47.79,520.1,2385.82,9035.82,2385.84,8110.58,2385.61,100.0,38.87,23.2388,8.4731,0.03,395,0.0022,0.0019,100.0,112
